
Instance: ORTEC-VRPTW-ASYM-41880837-d1-n262-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:39:54, Cost_of_solution: 349227
Instance: ORTEC-VRPTW-ASYM-152bab99-d1-n215-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:39:54, Cost_of_solution: 318026
Instance: ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:02, Cost_of_solution: 299728
Instance: ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:02, Cost_of_solution: 282578
Instance: ORTEC-VRPTW-ASYM-01829532-d1-n324-k22.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:02, Cost_of_solution: 587175
Instance: ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:02, Cost_of_solution: 376258
Instance: ORTEC-VRPTW-ASYM-31c42adc-d1-n206-k12.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 335553
Instance: ORTEC-VRPTW-ASYM-33202ac2-d1-n259-k25.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 253174
Instance: ORTEC-VRPTW-ASYM-2e2ef021-d1-n210-k17.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 520753
Instance: ORTEC-VRPTW-ASYM-31d5cfe6-d1-n252-k30.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 292054
Instance: ORTEC-VRPTW-ASYM-35fbecef-d1-n220-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 266962
Instance: ORTEC-VRPTW-ASYM-40856d69-d1-n217-k12.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 372830
Instance: ORTEC-VRPTW-ASYM-359b0530-d1-n318-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 233676
Instance: ORTEC-VRPTW-ASYM-37bce731-d1-n239-k20.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 334750
Instance: ORTEC-VRPTW-ASYM-36b75313-d1-n225-k15.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 390391
Instance: ORTEC-VRPTW-ASYM-3709cf41-d1-n287-k19.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 368355
Instance: ORTEC-VRPTW-ASYM-3cc58e3a-d1-n345-k22.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 375086
Instance: ORTEC-VRPTW-ASYM-4b1392b2-d1-n338-k21.txt, Method: modifiedknearest, Time: 08, 24, 22, 20:40:52, Cost_of_solution: 336822
